[	X	nmod	CISCO
'	PUNCT	punct	Tech
Tech	PROPN	appos	B
'	PUNCT	punct	Tech
,	PUNCT	punct	Tech
'	PUNCT	punct	Instrumentation
Instrumentation	NOUN	appos	Tech
'	PUNCT	punct	Instrumentation
,	PUNCT	punct	A
'	PUNCT	punct	Jodhpur
Jodhpur	NOUN	appos	A
'	PUNCT	punct	Jodhpur
,	PUNCT	punct	A
'	PUNCT	punct	A
University	PROPN	appos	CISCO
'	PUNCT	punct	University
,	PUNCT	punct	University
'	PUNCT	punct	University
Jodhpur	PROPN	appos	University
'	PUNCT	punct	Jodhpur
,	PUNCT	punct	CISCO
'	PUNCT	punct	2018
2018	NUM	appos	CISCO
'	PUNCT	punct	2018
,	PUNCT	punct	CISCO
'	PUNCT	punct	M
M	NOUN	appos	CISCO
'	PUNCT	punct	M
,	PUNCT	punct	M
'	PUNCT	punct	tech
tech	NOUN	appos	M
'	PUNCT	punct	tech
,	PUNCT	punct	M
'	PUNCT	punct	Machine
Machine	NOUN	appos	M
'	PUNCT	punct	Machine
,	PUNCT	punct	M
'	PUNCT	punct	Learning
Learning	NOUN	appos	M
'	PUNCT	punct	Learning
,	PUNCT	punct	M
'	PUNCT	punct	II
II	NOUN	appos	M
'	PUNCT	punct	II
,	PUNCT	punct	II
'	PUNCT	punct	IT
IT	NOUN	appos	II
'	PUNCT	punct	IT
,	PUNCT	punct	CISCO
'	PUNCT	punct	Delhi
Delhi	PROPN	appos	CISCO
'	PUNCT	punct	Delhi
,	PUNCT	punct	CISCO
'	PUNCT	punct	2021
2021	NOUN	appos	CISCO
'	PUNCT	punct	2021
,	PUNCT	punct	CISCO
'	PUNCT	punct	WORK
WORK	NOUN	conj	CISCO
